,NA000334Q,Oil,Weekly U.S. Ending Stocks of Crude Oil  (Thousand Barrels)
2005-10-01,3390598,216.0,985260.0
2005-10-01,3390598,216.0,985260.0
2006-01-01,3334041,242.0,988164.0
2006-01-01,3334041,242.0,988164.0
2006-01-01,3334041,242.0,988164.0
2006-04-01,3462006,259.0,1016329.0
2006-04-01,3462006,259.0,1016329.0
2006-04-01,3462006,259.0,1016329.0
2006-07-01,3463172,298.0,1006690.0
2006-07-01,3463172,298.0,1006690.0
2006-07-01,3463172,298.0,1006690.0
2006-10-01,3555390,288.0,1004893.0
2006-10-01,3555390,288.0,1004893.0
2006-10-01,3555390,288.0,1004893.0
2007-01-01,3479565,269.0,992216.0
2007-01-01,3479565,269.0,992216.0
2007-01-01,3479565,269.0,992216.0
2007-04-01,3610965,285.0,1005781.0
2007-04-01,3610965,285.0,1005781.0
2007-04-01,3610965,285.0,1005781.0
2007-07-01,3630580,285.0,1023093.0
2007-07-01,3630580,285.0,1023093.0
2007-07-01,3630580,285.0,1023093.0
2007-10-01,3730752,320.0,994071.0
2007-10-01,3730752,320.0,994071.0
2007-10-01,3730752,320.0,994071.0
2008-01-01,3643352,321.0,968319.0
2008-01-01,3643352,321.0,968319.0
2008-01-01,3643352,321.0,968319.0
2008-04-01,3704567,358.0,999885.0
2008-04-01,3704567,358.0,999885.0
2008-04-01,3704567,358.0,999885.0
2008-07-01,3682872,380.0,984093.0
2008-07-01,3682872,380.0,984093.0
2008-07-01,3682872,380.0,984093.0
2008-10-01,3682056,422.0,993730.0
2008-10-01,3682056,422.0,993730.0
2008-10-01,3682056,422.0,993730.0
2009-01-01,3510967,327.0,1018150.0
2009-01-01,3510967,327.0,1018150.0
2009-01-01,3510967,327.0,1018150.0
2009-04-01,3593534,213.0,1064312.0
2009-04-01,3593534,213.0,1064312.0
2009-04-01,3593534,213.0,1064312.0
2009-07-01,3617046,245.0,1052110.0
2009-07-01,3617046,245.0,1052110.0
2009-07-01,3617046,245.0,1052110.0
2009-10-01,3727386,311.0,1044995.0
2009-10-01,3727386,311.0,1044995.0
2009-10-01,3727386,311.0,1044995.0
2010-01-01,3592249,433.0,1034826.0
2010-01-01,3592249,433.0,1034826.0
2010-01-01,3592249,433.0,1034826.0
2010-04-01,3744069,508.0,1062845.0
2010-04-01,3744069,508.0,1062845.0
2010-04-01,3744069,508.0,1062845.0
2010-07-01,3778575,590.0,1062688.0
2010-07-01,3778575,590.0,1062688.0
2010-07-01,3778575,590.0,1062688.0
2010-10-01,3877159,692.0,1069141.0
2010-10-01,3877159,692.0,1069141.0
2010-10-01,3877159,692.0,1069141.0
2011-01-01,3748311,793.0,1043099.0
2011-01-01,3748311,793.0,1043099.0
2011-01-01,3748311,793.0,1043099.0
2011-04-01,3881126,896.0,1065133.0
2011-04-01,3881126,896.0,1065133.0
2011-04-01,3881126,896.0,1065133.0
